country,count,lat,lon
australia,7,-24.7761086,134.755
canada,6,61.0666922,-107.9917071
usa,36,39.7837304,-100.4458825
uk,4,54.7023545,-3.2765753
singapore,2,1.357107,103.8194992
china,7,35.000074,104.999927
czech republic,2,49.8167003,15.4749544
sweden,6,59.6749712,14.5208584
switzerland,6,46.7985624,8.2319736
japan,5,36.5748441,139.2394179
iran,1,32.6475314,54.5643516
russia,6,64.6863136,97.7453061
hungary,1,47.1817585,19.5060937
france,4,46.603354,1.8883335
iceland,10,64.9841821,-18.1059013
turkey,2,38.9597594,34.9249653
germany,4,51.0834196,10.4234469
netherlands,10,52.24764975,5.541246849406163
austria,5,47.2000338,13.199959
ukraine,4,49.4871968,31.2718321
italy,2,42.6384261,12.674297
ethiopia,1,10.2116702,38.6521203
belgium,1,50.6402809,4.6667145
