Forum,Year,Count
INDIN: IEEE International Conference on Industrial Informatics,2015,1
{IISA: International Conference on Information, Intelligence, Systems and Applications},2015,2
IHTC: IEEE Canada International Humanitarian Technology Conference,2017,1
IEEM: IEEE International Conference on Industrial Engineering and Engineering Management,2013,1
IEEE Transactions on Neural Systems and Rehabilitation Engineering,2013,1
IEEE Transactions on Information Technology in Biomedicine,2012,1
IEEE Systems Journal,2019,1
IEEE Journal of Latin-American Learning Technologies,2019,1
IEEE Access,2018,1
IEEE Access,2019,1
ICITEE: International Conference on Information Technology and Electrical Engineering,2017,1
{ICIEV-ISCMHT: International Conference on Informatics, Electronics and Vision},2017,1
ICALT: IEEE International Conference on Advanced Learning Technologies,2019,1
HCII: International Conference on Human-Computer Interaction,2019,1
Future Internet,2015,1
European Journal of Engineering Research and Science,2018,1
Egitim ve Bilim - Education and Science,2016,1
EDUCON: IEEE Global Engineering Education Conference,2011,1
EDUCON: IEEE Global Engineering Education Conference,2013,1
ECGBL: European Conference on Games Based Learning,2018,1
DSAI: International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion,2016,2
Disability and Rehabilitation: Assistive Technology,2019,1
CTIT: International Conference on Current Trends in Information Technology,2013,1
CSEDU: International Conference on Computer Supported Education,2018,1
ConTEL: International Conference on Telecommunications,2015,1
Conf-IRM: International Conference on Information Resources Management,2013,1
Computers \& Education,2011,1
Computers \& Education,2013,1
Computers \& Education,2018,1
Computer Science and Information Systems,2014,1
Computational Intelligence and Neuroscience,2016,1
Communications in Computer and Information Science,2010,1
CLEI Electronic Journal,2018,1
CISTI: Iberian Conference on Information Systems and Technologies,2015,1
CiSt: IEEE International Congress on Information Science and Technology,2018,1
CAD/Graphics: International Conference on Computer-Aided Design and Computer Graphics,2013,1
British Journal of Educational Technology,2017,1
Behaviour and Information Technology,2015,1
ASSETS: International ACM SIGACCESS Conference on Computers and Accessibility,2017,1
ASSETS: International ACM SIGACCESS Conference on Computers and Accessibility,2018,1
AGRIS On-line Papers in Economics and Informatics,2015,2
Advances in Neurodevelopmental Disorders,2018,2
Advances in Autism,2019,1
ACM Transactions on Interactive Intelligent Systems,2016,1
ACM Transactions on Accessible Computing,2018,1
